user_id,name,email,role,created_at,user_satisfaction
U-1 ,Atharv Kapoor,atharvkapoor@gmail.com,SRE,42418.88928,Average
U-2,Riya Paul,riyapaul@gmail.com,Product Owner,43984.42242,Excellent
U-3,Siya Iyer,siyaiyer@gmail.com,Automation Engineer,43868.86355,Very Good
U-4,Kiara Ansari,kiaraansari@gmail.com,Support,43510.75199,Good
U-5,Anvi Sharma,anvisharma@gmail.com,Support,45442.99558,Good
U-6,Nisha Shaikh,nishashaikh@gmail.com,Support,45749.24089,Average
U-7,Meera Pathan,meerapathan@gmail.com,Product Analyst,45527.17216,Good
U-8,Naina Mitra,nainamitra@gmail.com,Data Analyst,42880.63659,Poor
U-9,Aahana Mahajan,aahanamahajan@gmail.com,Data Analyst,45240.43687,Poor
U-10,Arjun Mehta,arjunmehta@gmail.com,QA Tester,45352.25514,Good
U-11,Aarav D'Souza,aaravd'souza@gmail.com,DBA,43554.50353,Very Good
U-12,Aarav Roy,aaravroy@gmail.com,QA Tester,44309.57302,Very Good
U-13,Sara Verma,saraverma@gmail.com,Network Admin,42615.79171,Average
U-14,Myra Bhardwaj,myrabhardwaj@gmail.com,Automation Engineer,43563.58182,Poor
U-15,Yash Chauhan,yashchauhan@gmail.com,API Client,44356.60887,Good
U-16,Kiara Patel,kiarapatel@gmail.com,Premium User,44923.21524,Average
U-17,Kiara Khan,kiarakhan@gmail.com,IT Security,45731.0673,Average
U-18,Neel Ghosh,neelghosh@gmail.com,Guest,43011.90936,Good
U-19,Dhruv Pandey,dhruvpandey@gmail.com,IT Security,42751.80694,Average
U-20,Aditi Paul,aditipaul@gmail.com,Network Admin,45022.24841,Good
U-21,Rohan Singh,rohansingh@gmail.com,Product Owner,42365.90283,Good
U-22,Siddharth Das,siddharthdas@gmail.com,ML Engineer,44485.81043,Poor
U-23,Sara Mahajan,saramahajan@gmail.com,QA Tester,45038.02765,Poor
U-24,Kabir Reddy,kabirreddy@gmail.com,Admin,45472.57069,Very Good
U-25,Samar Das,samardas@gmail.com,Guest,45328.31357,Excellent
U-26,Rohan Mahajan,rohanmahajan@gmail.com,Admin,44608.77134,Good
U-27,Siddharth Rathore,siddharthrathore@gmail.com,Moderator,43716.93423,Very Good
